L. de onda,Abs
1056.5,0.04654
1057,0.04271
1057.5,0.04803
1058,0.04487
1058.5,0.04604
1059,0.04574
1059.5,0.05119
1060,0.04373
1060.5,0.04227
1061,0.04201
1061.5,0.04759
1062,0.04413
1062.5,0.04499
1063,0.04831
1063.5,0.0458
1064,0.04391
1064.5,0.0496
1065,0.04784
1065.5,0.04546
1066,0.04155
1066.5,0.04063
1067,0.05044
1067.5,0.04427
1068,0.04332
1068.5,0.0434
1069,0.03885
1069.5,0.04589
1070,0.04182
1070.5,0.04214
1071,0.04847
1071.5,0.0467
1072,0.04511
1072.5,0.03933
1073,0.03719
1073.5,0.04403
1074,0.04158
1074.5,0.04381
1075,0.0425
1075.5,0.0487
1076,0.04008
1076.5,0.04372
1077,0.03644
1077.5,0.04353
1078,0.04743
1078.5,0.05194
1079,0.0467
1079.5,0.04201
1080,0.0379
1080.5,0.03234
1081,0.03975
1081.5,0.0454
1082,0.0331
1082.5,0.04387
1083,0.04122
1083.5,0.04053
1084,0.04174
1084.5,0.04279
1085,0.04771
1085.5,0.04206
1086,0.04441
1086.5,0.04295
1087,0.04388
1087.5,0.03707
1088,0.04081
1088.5,0.03813
1089,0.04429
1089.5,0.03854
1090,0.03896
1090.5,0.04495
1091,0.03898
1091.5,0.04172
1092,0.03966
1092.5,0.04239
1093,0.04067
1093.5,0.03791
1094,0.03294
1094.5,0.04285
1095,0.04731
1095.5,0.03339
1096,0.03356
1096.5,0.03549
1097,0.04558
1097.5,0.03633
1098,0.03605
1098.5,0.04791
1099,0.02709
1099.5,0.02891
1100,0.03518
